computed tomography and chest,computed tomography and lung,computed tomography and lungs,computed tomography and brain,computed tomography and abdominal,computed tomography and coronal,computed tomography and artery,computed tomography and lobe,computed tomography and tumor,computed tomography and liver
,,,,,"anomalous drainage of the right hepatic vein. coronal contrast-enhanced computed tomography scan shows the anomalous drainage of the right hepatic vein within the same orifice as the scimitar vein, redirecting the blood pool of the right hepatic vein into the left atrium. note the normal drainage of the middle hepatic vein into the inferior vena cava.",,,,
,,,computed tomography scan in a 9-month-old child with vein of galen malformation. plain axial computed tomography scan of the brain showing dilated ventricles due to hydrocephalus and gross cerebral atrophy,,,,,,
,"computed tomography scan in a patient with clear cell kidney cancer and uncomplicated bone pain (bone lesions not causing neurological complaints and without a high risk of pathological fracture), extra-osseous extension present (white arrow), known lung and adrenal gland metastases: treated with 8 gy x1.",,,,,,,,
,,,,abdominal computed tomography scan demonstrating an en larged spleen with the metastatic liver tumours,,,,,
coronal view of computed tomography of the chest showing a left lower lobe mass,,,,,,,,,
,,,,abdominal computed tomography on the third postoperative day. a ct scan demonstrated that subcutaneous fluid had collected adjacent to the surgical wound and that the colon had become slightly distended and showed no wall thickening.,,,,,
,computed tomography scan image of lungs on day 90. multiple residual nodules are observed diffusely in both lungs.,,,,,,,,
,positron emission tomography-computed tomography view of tumor in the left upper lobe of the lung – before wedge resection,,,,,,,,
,,,,,,,,contrast computed tomography scan image showing the inguinal tumor with heterogeneous enhancement (arrow).,
,contrast enhanced computed tomography scan of the thorax shows a well‐defined homogenous anterior right mediastinal mass with adjacent lung collapse as well as pleural effusion with passive lung collapse posteriorly. note that the cystic nature of the mass may be mistaken for a loculated pleural effusion.,,,,,,,,
scout film of high-resolution computed tomography chest showing situs inversus totalis,,,,,,,,,
,,,computed tomography brain shows gliotic scar in the left frontal region ex-vacuo dilatation of left frontal horn of third ventricle,,,,,,
,,,,,,,,computed tomography appearance of the duodenal gastrointestinal stromal tumor mistaken for cystic pancreatic neoplasm,
,computed tomography‐guided transbronchial lung biopsy with the biopsy forceps failing to reach a target lesion (white arrow).,,,,,,,,
,,,ct brain: computed tomography scan of the brain taken on preliminary presentation showing bilateral occipital lobe hypodensity and oedema.,,,,,,
"chest computed tomography. axial image demonstrates the presence of a pulmonary nodule in the left lower lobe, with irregular contour and a ground glass halo that may represent a hemorrhagic component (arrow)",,,,,,,,,
"computed tomography of the chest from our patient, revealing cystic bronchiectasis and ground-glass opacities in the left lung.",,,,,,,,,
,,,,,,,represents the computed tomography of a patient with salivary duct carcinoma which shows a mass arising from the left parotid gland infiltrating the deep lobe and the masseter muscle,,
,,,,,coronal view of computed tomography max/face revealing a right-sided medial orbital wall blowout fracture without entrapment.,,,,
,,,,,,,"computed tomography revealed subarachnoid hemorrhage, intraventricular hemorrhage and hematoma of the left temporal lobe.",,
,,,,"contrast-enhanced abdominal computed tomography (cect) scan in axial view revealed a large, well-circumscribed mildly enhancing adrenal mass (8 × 6 × 5 cm approx.) having few internal calcifications at left suprarenal region, which had displaced left kidney slightly downwards (arrow-mass; triangle-left kidney).",,,,,
,,,,,,,,,computed tomography at initiation of pembrolizumab. computed tomography scan of the liver before treatment with pembrolizumab was initiated after progression with the treatment of ipilimumab.
computed tomography-scan of the chest shows a cavitary lesion in the right upper lobe.,,,,,,,,,
,,,computed tomography brain showing bilateral cerebellar hypodensities,,,,,,
computed tomography of the chest depicting the presence of a bronchoesophageal fistula between the left main bronchus and the esophagus.,,,,,,,,,
high-resolution axial computed tomography scan of the chest shows ground-glass centrilobular nodules before initiation of everolimus therapy.,,,,,,,,,
,,,,,cone beam computed tomography coronal view showing bicortical expansion of maxilla and mandible. dome shaped expansion of maxilla into antrum can be seen bilaterally,,,,
,,,,,,,,,an abdominopelvic computed tomography scan showing a 3.5-cm-mass in the liver that demonstrated strong enhancement following the intravenous administration of contrast material.
axial chest computed tomography showing trace of pericardial effusion. this incidental finding was mentioned in the original report.,,,,,,,,,
contrast computed tomography chest showing complete eventration of the left diaphragm with herniation of colon and stomach in the left chest,,,,,,,,,
"high-resolution computed tomography of the chest on initial presentation showing bilateral subpleural interstitial thickening with honeycombing and traction bronchiectasis, diagnostic of idiopathic pulmonary fibrosis",,,,,,,,,
,,,,,,,,,computed tomography of the abdomen. red arrows show the interposition of bowel loops between our patient’s liver and diaphragm.
,,,,enhanced abdominal computed tomography. an abdominal computed tomography image showing a hemorrhagic cyst in the upper pole of the left kidney (arrowheads).,,,,,
chest computed tomography scan shows a rod-like mass with a soft tissue shadow adjacent to the left fifth rib,,,,,,,,,
,,,"initial brain computed tomography scans revealed epidural hematoma, left frontal and temporal convexity with midline shift and comminuted skull fracture.",,,,,,
,,,,,craniocaudal extension of the spleen. a coronal slice of a contrast-enhanced computed tomography examination of the upper thorax/upper abdomen. the height of the spleen is measured in parallel to the craniocaudal axis,,,,
,,,,,computed tomography scan of the head in coronal view shows the right elongated styloid process (7.5 cm) (red arrow),,,,
,,,,,,,,contrast enhanced axial computed tomography image of the abdomen showed heterogeneously enhanced mass (tumor) in the left renal bed (arrow) with invasion to left psoas muscle.,
computed tomography scan of the chest revealed a transverse fracture of the sternum at themanubrial position,,,,,,,,,
,,,,,"a preoperative computed tomography scan, coronal viewa computed tomography scan demonstrates left medial wall fractures (case 1).",,,,
axial chest computed tomography showing main pulmonary artery dilation. this incidental finding was not mentioned in the original report.,,,,,,,,,
,,,,,"contrast-enhanced computed tomography abdomen coronal sections. complete occlusion of the superior mesenteric vein by thrombus (white arrow), nonenhanced jejunal loops (arrowhead)",,,,
"axial chest computed tomography scan after two weeks of antifungal therapy showing thick-walled, subpleural cavitation and nodules (arrow).",,,,,,,,,
,,,,,,,"computed tomography of the head shows a left temporal lobe mass-like lesion, with surrounding vasogenic edema (arrow).",,
,,,,,,,"ct scan of upper abdomen showing a reduction of subcapsular hepatic hematoma (hypodense area indicated by the arrows), mainly on the surface of the right lobe of liver. there are no sources of active bleeding. ct = computed tomography.",,
,,,,,,"contrast-enhanced thoracic computed tomography transverse view. 1: right-sided superior vena cava, 2: left-sided superior vena cava, 3: aorta, 4: pulmonary artery",,,
,,,,,,,,"orbital computed tomography images showing enlarged inferior and medial rectus muscles in a patient with thyroid-associated ophthalmopathy. the inferior rectus muscle is enlarged, mimicing an orbital tumor",
,bilateral diffuse ground-glass opacities in the lower lobe of the lung observed on computed tomography at 4 years of age.,,,,,,,,
,,,,axial abdominal computed tomography scan showing a heterogeneous enhanced mass with hyperdence structures (arrows),,,,,
,,,,,"computed tomography scan (coronal image) shows an infiltrative mass in the posterolateral portion of the descending colon (arrow) and massive air bubbles in the left pararenal space, the left costodiaphragmatic recess, and around the body of the stomach, with diffuse infiltrates into the left soft tissue.",,,,
,transverse section of computed tomography thorax repeated after completion of 6 months of treatment showing reduced number and size of cysts in the lung,,,,,,,,
chest computed tomography on admission shows mixed consolidation/ground glass opacifications.,,,,,,,,,
