mri and chest,mri and lung,mri and lungs,mri and brain,mri and abdominal,mri and coronal,mri and artery,mri and lobe,mri and tumor,mri and liver
,,,,,"in this t2 fat-saturated coronal mri view, a partial tear of the medial collateral ligament from the medial epicondyle is observed as a high intensity signal (white arrow).",,,,
,,,,,,,,mri of the small pelvis: mri scan performed in the 18th week of gestation showing the tumorous infiltrated uterus harboring the fetus.,
,,,,,preoperative coronal mri scan of the left knee demonstrating a full thickness tear of the anterior cruciate ligament with a typical pattern of bone bruising of the lateral femoral condyle and posterior aspect of the lateral tibial condyle.,,,,
,,,,,,,"mri shows bilateral symmetrical change in the trigone region of the periventricular white matter, which appear as a butterfly pattern. the lesions involved the occipito-parieto-temporal lobe.",,
,,,mri of brain showing significant cerebellar tonsillar herniation (7.5 mm),,,,,,
,,,,,,,,sagital cross-section through a tumor of second thoracic vertebra on mri. the tumor is seen destroying the entire vertebral body and infiltrating dura mater.,
,,,"brain mri. conventional brain mri showed mild cerebellar atrophy, which seemed to be consistent with age.",,,,,,
,,,brain mri showing 7–8 mm pineal cyst.,,,,,,
,,,,,,,mri with contrast; sphenoid sinusitis; rim enhancing lesions with surrounding edema and local mass effect in the left temporal lobe.,,
,,,brain mri with and without contrast showing a nodular mass reflecting metastatic disease displacing the left inferior frontal gyrus.,,,,,,
,,,,,,,,"second post-treatment mri scan with intravenous gadolinium enhancement shows increased wall thickness, with enhancement. these could represent viable tumor or postradiation therapy inflammation. the first post-treatment mri scan (not shown) had demonstrated reduction in tumor size and hydrocephalus. an enhancing nodule has developed along the medial wall of the mass. the enhancing area is concordant with the pet scans [figures 3–5]",
,,,,,,,,sagittal slice of the mri.representative sagittal slice of mri showing the extent of the tumor (red arrows).mri: magnetic resonance imaging,
,,,,,annuloaortic ectasia—coronal oblique mri image in a 30-year-old male with marfan syndrome shows dilated aortic root and ascending aorta with effacement of the sinotubular junction (arrow) consistent with annuloaortic ectasia.,,,,
,,,,,,,"axial mri t1w image showing pituitary microadenoma, atrophic left temporal lobe with small tempoal fossa and enlarged mastoid air cell",,
,,,flair mri of the brain. compression by the mass toward the brainstem caused deformation.,,,,,,
,,,,,"mri coronal view, edema along tendons.",,,,
,,,,,,,,"post-operative mri of the cervical spine; sagittal plane t2/tse. the tumor has been removed, the spinal cord is without compression, cerebrospinal fluid is visible around the cervical spinal cord. metallic artifacts indicate the location of the ventral plate and pyramesh cage in c3–c5.",
,,,"mri brain showing multiple rels in cerebellar hemispheres, pons, thalami, posterior limbs of internal capsule and left frontal sub cortical white matter",,,,,,
,,,,,oblique coronal plane magnetic resonance imaging (mri) showing the posterolateral (pl) bundle.,,,,
,,,,,,,mri showing contusion areas at parietal and occipital lobes.,,
,,,,left lateral decubitus radiograph obtained in a 5 year-old boy with the new complaint of abdominal pain the morning after an mri of neck was performed for complaint of neck pain. radiograph demonstrates 11 round metallic objects 4 mm in diameter and pneumoperitoneum.,,,,,
,,,,,,,,"mri performed three years after surgery suggested a little fibrous scar tissue in the lesion of left talus (red arrow), without tumor tissue recurrence. (for interpretation of the references to colour in this figure legend, the reader is referred to the web version of this article).",
,,,,,,,"mri imaging. in the right hepatic lobe a lesion of 9.6 × 8.9 × 7.9 cm3 is observed, hyperdense in t2w presenting contrast enhancement.",,
,,,,,subtracted maximum intensity projection coronal post contrast mri showing dilated left pelvic collaterals.,,,,
,,,mri imaging of brain showed signal intensity abnormality in bilateral occipital lobes bilateral ischemic areas in occipital lobes,,,,,,
,,,,,"mri ivp coronal view mass in left renal pelvis (arrow), dilatation of lower calices (lc) without excretion",,,,
,,,,,,,,"pre-operative mri showing the tumor, affecting both anterior and posterior cervical lips, with possible early involvement of the vaginal fornices. clear fat plains where observed between the tumor and bladder anteriorly and rectosigmoid posteriorly.",
,,,,,,,,,"60-year-old female with suspected hepatic metastasis. axial slice from the spect images that is analogous to the ct and mri images, clearly demonstrating uptake in nodular mass adjacent to the liver."
,,,"mri of brain with gadolinium showing postoperative changes with surgical margin enhancement, edema and/or non-enhancing neoplasm (arrow).",,,,,,
,,,brain mri scan shows a large superficial and temporal mass,,,,,,
,,,prenatal mri showing a small round midline lesion with herniation of brain parenchyma (arrow).,,,,,,
,,,"axial view of the brain mri with gadolinium injection: enhancement of brain metastasis, which appears in white circular lesions.",,,,,,
,,,,,,,,,"mri of a liver hemangioma shows hyperintensity on the t2 weighted image (much more intense than for malignant lesions). after contrast administration hemangiomas show progressive, nodular and centripetal uptake in the arterial, portal-venous and late phase."
,,,brain mri.,,,,,,
,,,,,"mri spine of case 1, t2 coronal",,,,
,,,,,,,,mri: the tumor contained small cysts (arrow).,
,,,mri brain – nonspecific fluid/edema within the c1‐c2 retrospinal location. this finding has been reported in the setting of intracranial hypotension.,,,,,,
,,,the t1 brain mri of a young patient with sydenham chorea.,,,,,,
,,,,,"mri (coronal, t2 weighted).",,,,
,,,,,,,"mri with diffusion weighted imaging (dwi) showing improvement in the edema involving the thalami, occipital region and temporal lobes bilaterally.",,
,,,,,a 31‐week t2 weighted mri coronal scan of the fetus 2 showing normal fluid filled proximal loops (arrow) and dilated intermediate and distal loops attesting of the distal small bowel occlusion. the microcolon is not seen on this image.,,,,
"chest mri showing marked volume loss in left hemithorax, pneumothorax, soft tissue lesion in the left lingular region, left lower lobe atelectasis, and a small amount of pleural effusion.",,,,,,,,,
,,,brain mri shows small cortical and subcortical lesions at the right inferior frontal lobe.,,,,,,
,,,,,mri image; t1 coronal view showing cystic lesion with fine capsule () in close relation with flexor carpi ulnaris (),,,,
,,,,,,,,"radiation necrosis masquerading as late tumor recurrence. fourteen years after treatment for malignant ependymoma, axial post-gadolinium flair mri image showed a new multi-cystic lesion with a prominent solid component displaying marked contrast enhancement. [powerpoint slide]",
,,,axial t2w mri of the brain,,,,,,
,,,,,,,mri image shows subcortical infarction and hemorrhage in the right frontal lobe.,,
,,,,,,"diffusion mri scan at 25 days after the endovascular treatment. the patient presented intermittent right hemiparesis, but there was no acute lesion in the territory of left acha. mri = magnetic resonance imaging; acha = anterior choroidal artery.",,,
,,,,,pre-operative coronal mri. invasion into tongue muscle was observed. white arrow indicates the tumour.,,,,
,,,,abdominal mri imaging depicting the lesion.,,,,,
,,,,,mri scan at presentation. t2 coronal section showing suprasellar extension and compression on optic chiasm.,,,,
,,,,,"gadolinium-enhanced and fat-saturated mri t1, coronal view: encapsulated mass with mass effect in mucous pharyngeal space.",,,,
,,,"coronal t1 mri brain and orbit. mri performed 2 weeks after fine needle aspiration biopsy of the right orbital mass, but prior to commencing chemotherapy. the right orbital mass is shown causing displacement of the optic nerve.",,,,,,
,,,,,,,head mri t2w image showing hyperintensity in the right anterior temporal lobe.,,
,t2 sagittal mri spine demonstrates a large paraspinal thoracic mass with encroachment of the spinal canal and thecal sac from t5 and t8 with bony and lung parenchymal involvement,,,,,,,,
,,,,,,,,"radiation necrosis masquerading as late tumor recurrence. five years after treatment for malignant ependymoma, axial flair mri image showed stable post-treatment changes and no residual or recurrent tumor. [powerpoint slide]",
,,,,,ct and mri preoperative imagescoronal mri - arrow shows primary gastric tumor adjacent to left lobe of liver.,,,,
,,,,,,cervical magnetic resonance imaging (mri) of the patient with contrastluminal abnormalities of the left vertebral artery are seen in the box.,,,
,,,,,,,,,"magnetic resonance imaging (mri) after liver transplantation showing enlarged hilar and paraaortic lymph nodes, which were proven to be a metastatic cholangiocarcinoma"
,,,,,coronal t2 mri (as part of the mrcp study) showing no dilatation and normal position of choledochus.,,,,
,,,"brain mri, showing subcortical masses.",,,,,,
mri axial t1 showing tendon retracted medial to the anterior chest wall and absence of any muscle fatty infiltration.,,,,,,,,,
,,,,,,3d fiesta mri sequence showing ectactic basilar artery (yellow arrow) compressing left 5th nerve and distorting the pons,,,
,,,,,,,,post-operative mri scan showing subtotal tumor resection (arrow indicated the enlarged cystic mass).,
,,,,,,,"mri scan obtained on june 2012 demonstrated diffuse airspace opacities in the right lower lobe and left lower lobe. clinically, the patient was experiencing hemoptysis and found to be in an exacerbation of her condition.",,
,,,,,magnetic resonance imaging (mri) sequence (coronal view). the mixed signal intensity mass (black arrow) appears separate from the portal vein and the arterial branches.,,,,
,,,,,"mri study of the pituitary gland with iv contrast medium. tomography in a) sagittal and b) coronal planes. left intrasellar lesion measuring 11.5 × 9.5 mm touching the cavernous sinus wall. note the normal glandular tissue on the right, the deformity of the floor of the sella, and the central position of the pituitary stalk",,,,
,,,brain mri finding of patient 13. axial diffusion-weighted image showing hyperintensity in right thalamus and posterior limb of internal capsule.,,,,,,
,,,mri scan of the brain demonstrated cerebellar atrophy and pansinusitis.,,,,,,
,,,,,"coronal t1-w mri of patient 1, a 12-year-old girl with chronic physeal injury. the distal radial physis is wide and irregular. note low-signal intrusions into metaphysis typical of focal failure of ossification of physeal cartilage (arrow)",,,,
