mri + t1-weighted,mri + t2-weighted,mri,x-ray,computed tomography
,,"the same tumor as in figure 1 in a transversal section. pancreas and splenic vein are displaced towards ventral. (mri, t1, transversal).",control x-ray shows partial regression of inflammatory lesions in both lungs.,"a transversal view of computed tomography slice of prostate cancer patient showing bilateral metallic hip prostheses, corrected artifacts, clinical target volume, planning target volume, bladder, and rectum"
,,t1 weighted mri of the tumors on sagittal section demonstrating proximity to the dentition and the ethmoid region,chest x-ray 3 days after conversion to sirolimus,"abdominal computed tomography revealed peripancreatic fat tissue edema and a heterogeneous appearance of the pancreas (arrow). based on these findings, it was concluded that edematous pancreatitis was in its initial stage."
,,axial mri t2 weighted image showing the large iliopsoas abscess.,"definition of rois. x-ray image (66 kv, 8mas) in anterior-posterior position ap2, right femur of patient no. 8 (alsatian, 24 kg) as an example. r1 – r5 = region of interest 1–5; 1: greater trochanter line, 2: bisector line, 3: tip of prosthesis, 4: 1 cm distal tip of prosthesis, 5: femoral head dissection line, 6: template of a prosthesis",high resolution computed tomography of lung shows miliary pattern in bilateral lung fields with few coalescent larger nodules
,,diffusion weighted magnetic resonance imaging (dwi mri) of the brain on day 5. the white arrows highlight the ischemic regions in the left and right occipital lobes.,chest x-ray 1 day before packed red cell transfusion,a computed tomography scan image revealing a low-grade myofibroblastic sarcoma. an oval-shaped swelling ~2.5×2.0 cm in size was observed in the anterior portion of the maxilla.
,,"figure 1: mri showing a large cystic collection of fluid in front of body and tail of pancreas, pushing the stomach anteriorly.","initial cephalometric x-ray, taken in 1989.",computed tomography of abdomen shows intraperitoneal free air and decreased perfusion of the small intestine
,,"fetal mri brain at 26 weeks shows volume loss in the left parietal region with polymicrogyria, suggestive of a previous ischaemic insult.",double the shadow of thoracic aorta (bold arrows) and widening state of superior mediastinum (sharp arrows) were shown in chest x-ray.,a focal hypermetabolic lesion (maximum standardized uptake value 8.4) at the left cervical level iii assumed to be a metastatic lymphadenopathy in preoperative positron emission tomography and computed tomography (pet/ct).
,,axial mri of the left popliteal fossa showing two enlarged nodes in close proximity to the popliteal vessels.,"aspergillosis. angioinvasive disease chest x-ray is the most common, manifesting as thick-walled cavitary lesions predominating in the upper lobes, with air-crescents surrounding areas of desquamated infarcted lung. here, we see all the described features on computed tomography",enhanced neck computed tomography showing a cystic mass (arrow) at the inferior aspect of the right thyroid lobe with a tracheal compression.
,,mri т1-weighted. subcortical lesions are localized in the right striatum corpum and adjacent corona radiated.,post charnley left total hip replacement plain x-ray of the pelvis.,"computed tomography scan showing hemorrhage in edematous part of brain of patient with herpes simplex virus encephalitis, day 5 of hospitalization."
,,mri showing a mass in the pancreatic tail (arrow) with direct invasion into the spleen and associated splenic vein thrombosis.,pre-operative x-ray pelvis with both hips ap..showing dislocation of left hip.,the axial image of contrast-enhanced brain computed tomography demonstrates an acute hemorrhage in the central pons (white arrow).
,,axial postoperative mri t1 imaging showing no signs of recurrent tumor,chest x-ray at the emergency department. posterior-anterior conventional radiograph of the chest with an intrathoracic air-fluid collection. air-bubble in stomach. free-intraperitoneal air inferior of both hemidiaphragms. image suspect of stomach/bowel perforation and partial intrathoracic positioned stomach.,"computed tomography (ct) of the abdomen and the pelvis confirming the presence of a 22 × 19 × 8 cm retroperitoneal mass, extending anteriorly to abdominal wall of right upper quadrant and winding the entire distal right kidney."
,,mri showing right parotid tumour with extension into the deep lobe.,"chest x-ray immediately after application of extracorporeal membrane oxygenation. there was consolidation in the left upper lung zone, and an outflow catheter was inserted into the right internal jugular vein (arrows). r, right.",contrast-enhanced computed tomography of the abdomen and pelvis coronal view showing a large heterogeneous sacral mass with erosion and destruction of coccygeal segments
,,mri image of the brain in an axial view showing the “pre-contrast t2 image”. note the abnormal lesions (circled) in the per ventricular area suggesting white matter pathology.,chest x-ray showing acute respiratory distress syndrome.,"axial computed tomography of the paranasal sinuses, showing a tumor abutting the nasolacrimal duct. s = nasal septum; it = inferior nasal turbinate; m =maxillary sinus."
,,mri at diagnosis of extramedullary leukemiaaxial t1 showing a fusiform enlargement of the left brachial plexus (arrows).,ap x-ray of the pelvis detects acetabular protrusion in a 36-year-old patient affected by marfan syndrome. the patient complained of hip pain and clinical examination showed a restricted range of motion of the hips.,high resolution computed tomography of the orbits showing bilateral lacrimal gland enlargement.
,,mri showing the tri-lobed lesion (arrow) at the second web.,chest x-ray of a 56-years-old lady with an acute exacerbation of asthma showing left upper lobe collapse-consolidation along with left paracardiac opacity,"contrast-enhanced computed tomography at the level of pancreas after 3 months of cyclophosphamide, doxorubicin, vincristine, and prednisone (chop) treatment demonstrating near complete resolution of previously seen soft tissue masses."
,,t2 weighted saggital mri showing the medial meniscus.,chest x-ray radiograph shows right side white lung and mediastinal shifting to the left,computed tomography of the abdomen showing perinephric hematoma (arrow) with adjacent intensely enhancing lesion suggestive of an aneurysm (arrowhead)
,,"mri showing the non-union, the inflammatory mass in the joint with bone involvement in the humerus and glenoid.",x-ray showing hemarthrosis in the knee joint,coronal computed tomography (ct) scan (portal venous phase) shows gallbladder wall congestion and the periportal halo is visualized in the left lobe of the liver.
,,sagittal t2 mri image showing sinus tract upto the nasal tip,x-rays of the pelvis. osteolytic lesion of the proximal metaphysis of the left femur (arrow).,computed tomography pulmonary angiography showing dilatation of the main pulmonary artery and thrombus in the right main pulmonary artery.
,,magnetic resonance imaging (mri) scan. dilated atypical virchow-robin space (vrs) under the basal ganglia on the right side is visible (white arrow),"chest x-ray on discharge showing resolution of the bilateral lung infiltrates, pleural effusions, and surgical emphysema.",postoperative computed tomography showing the open angle of 32° at c6 without plate fixation
